poemId,allTopics,allProbabilities,topics,topicWords,topicProbabilities
1757,"0,1,2,3","0.0263,0.3694,0.0268,0.5776","1,3,2,0","""淸華, 盎然""，""仙, 天地, 春意, 暗香""，""瓦盆""，""家, 寒""","0.03,0.37,0.03,0.58"
1758,"0,1,2,3","0.3053,0.0257,0.0258,0.6433","0,3","""寒, 書, 闌""，""冰, 影, 新, 生, 香""","0.31,0.64"
1759,"0,1,2,3","0.9287,0.0238,0.0235,0.0240","0,1,3,2","""夜, 梅, 歸, 花, 銀屏, 鳳""，""光""，""雨""，""烟籠, 疎竹""","0.93,0.02,0.02,0.02"
1760,"0,1,2,3","0.0239,0.0234,0.0232,0.9295","0,3,1","""梅, 茅屋""，""冰, 古調, 林, 樹, 絃, 香, 鳥""，""泠泠""","0.02,0.02,0.93"
1761,"0,1,2,3","0.1265,0.0578,0.7694,0.0463","2,3,1,0","""東風, 鎮日""，""雨""，""李花""，""闌""","0.13,0.06,0.77,0.05"
1762,"0,1,2,3","0.0336,0.0322,0.0331,0.9011","3,1,0,2","""晴, 牡丹""，""光""，""寒, 落花""，""南園, 朱欄""","0.03,0.03,0.03,0.90"
1763,"0,1,2,3","0.5930,0.0176,0.0180,0.3714","3,0,2,1","""垂柳, 新, 晴, 畫, 蝶, 雪""，""回首, 客, 春, 歸, 絮, 風""，""曲徑""，""斜暉""","0.59,0.02,0.02,0.37"
1764,"0,1,2,3","0.9660,0.0113,0.0112,0.0115","3,0,2,1","""天, 樹, 雲, 韶華, 高樓""，""今昔, 俯仰, 回首, 妝臺, 心, 悲, 感, 懷抱, 桃李, 楚江, 歸, 瑤琴, 花, 茅屋, 音""，""黃鸝""，""千古""","0.97,0.01,0.01,0.01"
1765,"0,1,2,3","0.8795,0.0523,0.0328,0.0354","0,1,3","""春風, 燕子, 簾""，""佳人, 緩緩, 芳華""，""桃花""","0.88,0.05,0.04"
1766,"0,1,2,3","0.9561,0.0145,0.0143,0.0151","1,0,3","""平分, 筆硯, 邂逅""，""君, 思, 慰, 春, 白雲, 舊, 花, 芳草, 風光""，""山, 此日, 畫, 雨, 鶯""","0.96,0.01,0.02"
1767,"0,1,2,3","0.0335,0.2035,0.0319,0.7311","3,0,1","""嬋娟, 無聲, 雨, 雲""，""纏緜""，""光, 桐花""","0.03,0.20,0.73"
1768,"0,1,2,3","0.0434,0.0423,0.0422,0.8721","3,0","""人, 山, 林, 翠""，""泉""","0.04,0.87"
1769,"0,1,2,3","0.9509,0.0160,0.0161,0.0170","0,2,3","""夢, 寂寂, 悶, 春, 簾, 紗窗, 絮, 花, 華年, 風""，""妝""，""塵, 影, 樹, 雨""","0.95,0.02,0.02"
1770,"0,1,2,3","0.3089,0.0285,0.6328,0.0298","2,0,3","""東風, 琴絃, 茗椀, 薔薇""，""春, 芬芳""，""人, 香""","0.31,0.63,0.03"
1771,"0,1,2,3","0.7320,0.0322,0.0327,0.2031","3,0,2","""山, 桃花""，""客, 春, 煙霞, 舟""，""夕照""","0.73,0.03,0.20"
1772,"0,1,2,3","0.9673,0.0108,0.0107,0.0112","0,3,1,2","""三更, 傷情, 冷, 夜, 夢, 家, 恐, 惆悵, 曲, 籬, 迢迢, 鄰家, 銀漢, 難""，""山, 無聲, 生, 雲, 香""，""光, 秋, 笛""，""滿目""","0.97,0.01,0.01,0.01"
1773,"0,1,2,3","0.9492,0.0172,0.0165,0.0171","0,3,2,1","""天涯, 心切, 春草, 獨, 琴, 縱然, 階, 風""，""湖, 陰, 靈, 鴛鴦""，""文姬""，""雨後, 香花""","0.95,0.02,0.02,0.02"
1774,"0,1,2,3","0.9482,0.0169,0.0180,0.0169","0,1,2,3","""夢, 書, 玳瑁, 落花, 階, 音, 鴉""，""光""，""可愛, 妝, 春雨""，""女, 影, 苔, 陰""","0.95,0.02,0.02,0.02"
1775,"0,1,2,3","0.9289,0.0236,0.0236,0.0239","2,0,3","""綵雲""，""夜, 家, 文章, 歲月, 煙霞, 金, 靈光""，""何人, 影""","0.93,0.02,0.02"
1776,"0,1,2,3","0.0247,0.0235,0.0232,0.9287","0,3,1","""病, 詞, 車, 鳳""，""五色, 人, 和, 愧, 玉""，""作家""","0.02,0.02,0.93"
1777,"0,1,2,3","0.9590,0.0135,0.0135,0.0141","0,2,3","""仰, 從此, 春, 書, 泥, 舊, 花, 詞, 金, 馬蹄""，""上苑""，""事業, 人, 天, 新, 玉, 鶯""","0.96,0.01,0.01"
1778,"0,1,2,3","0.5883,0.0160,0.0162,0.3795","3,0,2","""一刻, 女, 眉, 蓬, 魂, 黯黯""，""傷心, 冷, 別離, 半生, 愁, 戀, 自由, 誰知""，""沉沉""","0.59,0.02,0.38"
1779,"0,1,2,3","0.0168,0.0164,0.0160,0.9507","3,1,0","""三月, 天, 晴, 林, 浪, 畫, 縹緲, 西湖, 雨""，""光, 江""，""咫尺, 帆, 春, 纏緜""","0.02,0.02,0.95"
1780,"0,1,2,3","0.0093,0.0093,0.0094,0.9720","3,2,1,0","""人, 四圍, 天氣, 斜陽, 新, 暮春, 柏葉, 桃花, 水, 浣紗, 溪流, 笙, 苔, 蒼翠, 雨, 香""，""前途, 妝""，""山花, 崔巍, 頓覺""，""家家, 惆悵, 泉, 風""","0.01,0.01,0.01,0.97"
1781,"0,1,2,3","0.9598,0.0135,0.0131,0.0135","2,0,1,3","""春雨, 昨夜""，""寒風, 幽閨, 窗紗, 纏緜, 蒼涼, 關心""，""光, 飛來""，""天, 屈曲, 斷續, 明朝, 晴, 灼灼, 陰, 雨, 雲霞""","0.96,0.01,0.01,0.01"
1782,"0,1,2,3","0.4409,0.0176,0.0176,0.5239","0,3,1,2","""少時, 愛, 歌聲, 秋風, 花""，""人, 嫋嫋, 湖, 煙波, 畫""，""光, 水濱, 離離""，""歸家""","0.44,0.02,0.02,0.52"
1783,"0,1,2,3","0.9442,0.0183,0.0185,0.0190","3,0,2","""園林, 畫, 雨, 鶴""，""心, 故址, 春, 淒涼, 花, 華表, 落暉, 鳳""，""妝""","0.94,0.02,0.02"
1784,"0,1,2,3","0.0302,0.0291,0.0291,0.9116","3,2,0,1","""天, 年年, 水, 銀河""，""僊人""，""情, 累""，""尙未""","0.03,0.03,0.03,0.91"
1785,"0,1,2,3","0.6230,0.0126,0.0122,0.3521","3,1,0","""人, 唱, 子規, 生, 草色, 雲山, 風風雨雨, 鶯""，""明月, 百感, 陽關""，""回首, 夢, 天涯, 客, 愁, 故里, 柳絲, 歸, 異鄉""","0.62,0.01,0.35"
1786,"0,1,2,3","0.9288,0.0235,0.0235,0.0242","0,3","""愁, 數典, 歡笑, 消受, 薄病, 風致""，""影, 新, 雲, 鸞""","0.93,0.02"
1787,"0,1,2,3","0.9519,0.0161,0.0159,0.0162","0,3","""別離, 天涯, 客愁, 心, 思, 書, 歸期, 無語, 玉漏, 病, 鄉夢, 難, 黯然""，""秋花, 闌干""","0.95,0.02"
1788,"0,1,2,3","0.3293,0.0130,0.0132,0.6446","0,2,3","""冷, 心, 情, 情癡, 文章, 死, 病, 相思, 石""，""密意, 紅樓, 飄渺, 鳳紙""，""妬, 瀟湘, 雨, 騷人, 魂""","0.33,0.01,0.64"
1789,"0,1,2,3","0.9570,0.0142,0.0143,0.0145","2,0,3,1","""紅樓, 詩思""，""別離, 夢, 恨, 情, 愁, 感, 淚, 綢繆, 蠶, 關心, 難""，""乙乙, 天, 美人""，""秋""","0.96,0.01,0.01,0.01"
1790,"0,1,2,3","0.9058,0.0689,0.0124,0.0130","1,0,3","""佳日, 千古, 西泠, 雨後, 香車""，""傷神, 兒女, 夕陽, 夢, 思, 悵望, 情, 芳塵, 蒼茫, 風""，""桃花, 楊柳, 樹, 美人, 韶華""","0.91,0.07,0.01"
1791,"0,1,2,3","0.0382,0.3875,0.0369,0.5373","1,0,3","""名花, 品格, 風流""，""柔, 花""，""笑""","0.04,0.39,0.54"
1792,"0,1,2,3","0.9228,0.0255,0.0256,0.0261","2,0,3","""頻年""，""學, 愁, 柔, 病, 花, 辛苦, 風塵""，""香""","0.92,0.03,0.03"
1793,"0,1,2,3","0.5175,0.0268,0.4289,0.0268","2,3,1,0","""涼生, 羅袖, 藥爐""，""八月""，""消瘦, 秋""，""天涯, 愁, 簾""","0.52,0.03,0.43,0.03"
1794,"0,1,2,3","0.9105,0.0301,0.0293,0.0301","1,2,0,3","""畫樓, 秋, 鄭重""，""錦屏""，""同心, 花""，""人, 图""","0.91,0.03,0.03,0.03"
1795,"0,1,2,3","0.8882,0.0367,0.0371,0.0380","3,0,1","""聚首, 闌干""，""別離, 歧, 遠行""，""人情""","0.89,0.04,0.04"
1796,"0,1,2,3","0.2440,0.0154,0.3193,0.4214","0,3,2","""帆, 恩, 感, 相逢, 舅, 華年""，""仙, 問訊, 無奈, 纏綿, 萍""，""浪迹, 深知, 窮途, 雪泥鴻爪, 靑眼""","0.24,0.32,0.42"
1797,"0,1,2,3","0.9513,0.0165,0.0161,0.0161","0,1,3,2","""一家, 周旋, 天涯, 弟兄, 感, 知已, 華年, 風塵, 飄零""，""幾人, 浮名, 肝膽""，""姊妹, 生""，""蹤迹""","0.95,0.02,0.02,0.02"
1798,"0,1,2,3","0.3543,0.0163,0.2375,0.3919","3,2,0","""佛, 寂寞, 梅花, 湘簾, 畫""，""玉鈎, 經卷, 蛙聲, 鳥絲""，""夜, 愁, 燒, 病, 銀屏, 難""","0.35,0.24,0.39"
1799,"0,1,2,3","0.0158,0.0151,0.0151,0.9540","3,0","""人, 作客, 唱, 天, 有意, 江水, 無情, 玉, 生涯, 蟲, 鳥""，""冷, 可憐, 心血, 日月, 花""","0.02,0.95"
1800,"0,1,2,3","0.9527,0.0158,0.0154,0.0161","1,0,3","""江, 益壽, 草閣, 金丹, 頹唐""，""夏, 夢, 寒, 梅雨, 笛聲, 絲絲, 蘭, 風""，""翠, 闌干, 香""","0.95,0.02,0.02"
1801,"0,1,2,3","0.9392,0.0199,0.0200,0.0209","0,1,3,2","""回首, 天邊, 家, 悲, 湖山, 童""，""老人""，""星, 生, 靈""，""古詩, 未必""","0.94,0.02,0.02,0.02"
1802,"0,1,2,3","0.9225,0.0257,0.0257,0.0261","0,3,1","""心, 心血, 恩, 愁, 慰, 苦, 難""，""分明""，""白頭""","0.92,0.03,0.03"
1803,"0,1,2,3","0.9745,0.0051,0.0052,0.0152","0,2,1,3","""他鄉, 可憐, 夢, 客, 山川, 崎嶇, 心, 思, 情, 惆悵, 愁, 握手, 故人, 書, 歧, 浩渺, 無賴, 獨, 病, 簾, 絮, 舊, 音, 風塵""，""世路, 往返, 征衫, 窗前, 紗橱, 經卷, 花箋, 藥爐""，""半夜, 支離, 明月, 玉笛, 秋, 翦燭, 詩句, 誰家, 鄭重""，""人, 天, 新, 此日, 河梁, 秋雨, 纏綿, 魂""","0.97,0.01,0.01,0.02"
1804,"0,1,2,3","0.0207,0.0202,0.0201,0.9390","1,0,3,2","""仙源, 綺麗""，""夢, 花, 金, 韶光""，""劉郎, 年年, 春水, 玉, 繁華""，""妝""","0.02,0.02,0.02,0.94"
1805,"0,1,2,3","0.0335,0.0331,0.3711,0.5623","0,3,2,1","""鴻""，""儀, 天地, 德""，""化成, 芳聲""，""法""","0.03,0.03,0.37,0.56"
1806,"0,1,2,3","0.9115,0.0306,0.0287,0.0292","3,0,1","""儀, 生""，""家, 歸, 詩""，""天命, 綿綿, 艱難""","0.91,0.03,0.03"
1807,"0,1,2,3","0.9341,0.0216,0.0220,0.0223","2,3,1,0","""祖宗, 驪山""，""火, 生""，""艱難""，""情, 愛, 累, 雞, 難""","0.93,0.02,0.02,0.02"
1808,"0,1,2,3","0.5326,0.0382,0.3915,0.0377","2,3,0,1","""國君, 王孫""，""人""，""慈母, 難""，""急""","0.53,0.04,0.39,0.04"
1809,"0,1,2,3","0.0313,0.9110,0.0287,0.0290","1,0","""先賢, 勞心, 在世, 孜孜, 晏安, 貴賤""，""家, 獨""","0.03,0.91"
1810,"0,1,2,3","0.0275,0.9186,0.0260,0.0279","1,3,0","""不遑, 執法, 秋, 空虛, 詩書""，""畫, 笑""，""春陽, 母""","0.03,0.92,0.03"
1811,"0,1,2,3","0.9545,0.0151,0.0152,0.0152","0,3,2","""夜, 姑, 婦, 愁, 感, 母, 神明, 詩, 雞, 難""，""江水, 風濤""，""心儀""","0.95,0.02,0.02"
1812,"0,1,2,3","0.0242,0.0241,0.0246,0.9271","3,2,0","""四顧, 怒, 畫, 笑, 遙望""，""楊香, 猙獰""，""兒女, 婦, 父""","0.02,0.02,0.93"
1813,"0,1,2,3","0.1671,0.8052,0.0137,0.0140","1,3,0","""光, 大節, 天壤, 奇特, 宇宙, 寢食, 藏匿, 豐碑, 靈府, 鬼神""，""女, 德, 泣, 蛟龍""，""夢, 弟, 愛, 父""","0.17,0.81,0.01"
1814,"0,1,2,3","0.2392,0.7165,0.0202,0.0241","3,0,1,2","""女, 愧, 水, 生""，""死, 甘""，""兄, 處子, 豈不, 驅使""，""偷, 父兄""","0.24,0.72,0.02,0.02"
1815,"0,1,2,3","0.2784,0.6842,0.0186,0.0189","3,1,0,2","""君子, 玉""，""君臣, 天性, 琴書, 豈不, 陵, 高風""，""仰, 妻, 病""，""浮雲""","0.28,0.68,0.02,0.02"
1816,"0,1,2,3","0.8106,0.0219,0.1456,0.0219","1,2,3,0","""馬""，""不應, 無為, 自持, 齊國""，""女, 德""，""曲, 治, 累""","0.81,0.02,0.15,0.02"
1817,"0,1,2,3","0.2857,0.6731,0.0202,0.0210","1,2,3,0","""冰淵, 大節, 張羅, 慕, 雲煙""，""精誠""，""天, 水""，""思, 石, 連理, 難""","0.29,0.67,0.02,0.02"
1818,"0,1,2,3","0.6303,0.0329,0.3033,0.0335","0,2,3","""妻, 情, 愛, 缺""，""夫婦, 賓客""，""人""","0.63,0.30,0.03"
1819,"0,1,2,3","0.9219,0.0258,0.0255,0.0268","0,3,1","""君, 婦, 心, 泉, 疾, 車, 難""，""怒""，""慕""","0.92,0.03,0.03"
1820,"0,1,2,3","0.2330,0.7185,0.0237,0.0247","3,1,0","""人, 珠""，""後母, 母女, 法, 當先""，""不忍, 難, 風""","0.23,0.72,0.02"
1821,"0,1,2,3","0.4485,0.0288,0.2832,0.2395","3,0,2","""人, 天下, 宮""，""妾, 心, 治""，""白水, 齊國""","0.45,0.28,0.24"
1822,"0,1,2,3","0.9026,0.0322,0.0320,0.0332","0,3","""心, 懷古, 淑德, 難, 音""，""女, 雲""","0.90,0.03"
1823,"0,1,2,3","0.0145,0.0142,0.0143,0.9570","3,0","""不平, 中央, 人, 人間, 俯視, 女媧, 山, 星, 林, 火珠, 玲瓏, 羊腸, 鬼""，""曲, 白雲, 石, 馬蹄""","0.01,0.96"
1824,"0,1,2,3","0.0122,0.0125,0.0118,0.9634","1,3,0","""愛惜, 戰, 指點, 甘棠, 紅花, 絕壁, 造化, 風骨""，""天, 崖, 樹, 行人, 金石, 雪, 雲""，""扶持, 書, 柳, 鳳""","0.01,0.01,0.96"
1825,"0,1,2,3","0.9387,0.0203,0.0202,0.0208","0,1,3","""夢, 山川, 心, 思, 白雲, 知命, 閒事, 難""，""遠眺""，""岫, 林, 鳥""","0.94,0.02,0.02"
1826,"0,1,2,3","0.0237,0.0233,0.0234,0.9295","3,0,1","""優遊, 和, 枝頭, 西山, 雨, 鳥""，""情, 泉, 風""，""石流""","0.02,0.02,0.93"
1827,"0,1,2,3","0.8372,0.0521,0.0546,0.0561","1,2,0","""話別""，""長亭""，""感, 歸期""","0.84,0.05,0.05"
1828,"0,1,2,3","0.0209,0.0203,0.0198,0.9390","3,0,1","""人, 回鄉, 山, 弟妹, 星, 火, 香""，""喜, 夜, 故園""，""板橋, 關中""","0.02,0.02,0.94"
1829,"0,1,2,3","0.0193,0.9421,0.0188,0.0198","2,1,3,0","""不覺, 寒煙""，""光, 山堂, 暮秋, 登高, 皓月, 馬""，""水, 雲""，""回首, 書, 雁""","0.02,0.94,0.02,0.02"
1830,"0,1,2,3","0.8075,0.0166,0.0163,0.1596","3,0,2,1","""樹, 雨, 雲山, 鶯""，""夕陽, 帆, 春, 東郊, 柳, 無限, 紅杏, 花, 靑溪""，""波光""，""兩岸""","0.81,0.02,0.02,0.16"
1831,"0,1,2,3","0.0290,0.0291,0.0289,0.9130","2,3,0,1","""閒坐""，""山, 木蘭, 水, 雲霞""，""舟""，""明月, 秋""","0.03,0.03,0.03,0.91"
1832,"0,1,2,3","0.0191,0.0185,0.0184,0.9439","0,3,1","""三生, 富貴, 脈脈, 蕭蕭""，""下風, 天, 水流, 海, 牽牛, 盈盈, 雨, 雲""，""秋""","0.02,0.02,0.94"
1833,"0,1,2,3","0.0239,0.0217,0.9310,0.0233","3,2,0","""別緒, 雲霞""，""出海, 故山, 春雨, 轉離, 辭家, 風行""，""夢, 情, 流水""","0.02,0.93,0.02"
1834,"0,1,2,3","0.9212,0.0263,0.0258,0.0267","0,3,1","""夜, 寒, 曲, 瑤琴, 紅樹""，""天, 畫""，""江, 皓月""","0.92,0.03,0.03"
1835,"0,1,2,3","0.5119,0.4288,0.0303,0.0289","2,0,1","""南華, 滿地""，""多情, 曲曲, 書, 歸, 黃花""，""秋月""","0.51,0.43,0.03"
1836,"0,1,2,3","0.0300,0.0265,0.9158,0.0276","3,2,0","""偶然""，""一年一度, 可愛, 散步, 水池, 薔薇""，""多情, 東籬, 相思""","0.03,0.92,0.03"
1837,"0,1,2,3","0.0225,0.0229,0.0215,0.9331","3,0,1","""兀自, 天, 新月, 暮, 池, 荷花, 雨""，""憑欄""，""橫笛, 水閣, 畫樓""","0.02,0.02,0.93"
1838,"0,1,2,3","0.9329,0.0219,0.0225,0.0226","0,3,2","""喜, 山川, 春, 柳, 玉人, 風""，""塘, 明媚, 樓台, 雨""，""寶鑒""","0.93,0.02,0.02"
1839,"0,1,2,3","0.8082,0.0319,0.0319,0.1280","0,3","""春, 梅, 玉漏, 雞""，""塵, 天, 飛花""","0.81,0.13"
1840,"0,1,2,3","0.4965,0.0235,0.0235,0.4565","3,0","""攜手, 水, 滔滔, 靑山""，""努力, 夕陽, 愁, 柳, 河, 相思""","0.50,0.46"
1841,"0,1,2,3","0.0240,0.0239,0.0240,0.9281","0,3,1,2","""喜, 涼風, 紅日""，""丹霞, 冬, 春光, 水, 雪""，""山花""，""羯鼓""","0.02,0.02,0.02,0.93"
1842,"0,1,2,3","0.0171,0.0166,0.0170,0.9492","3,0,2,1","""人, 天, 江水, 滔滔, 生, 鏡中, 雨, 鳥""，""帆, 情, 故鄉, 春""，""含煙, 囀靑""，""長途""","0.02,0.02,0.02,0.95"
1843,"0,1,2,3","0.0137,0.0145,0.0139,0.9578","3,1,2,0","""塵, 天, 奇峯, 暮, 水, 珠, 眷戀, 蛟龍, 雪, 雲""，""一線, 光, 奔騰, 碧潭""，""滿地, 皎潔""，""心""","0.01,0.01,0.01,0.96"
1844,"0,1,2,3","0.0247,0.0236,0.0233,0.9284","3,0,1","""樹, 水, 浪, 眉""，""帆, 春, 白雲, 花""，""江""","0.02,0.02,0.93"
1845,"0,1,2,3","0.0138,0.0142,0.0137,0.9583","3,1,0","""何人, 山, 影, 新, 猿, 石壁, 蓬萊, 鍾聲, 雨, 鳥""，""兩岸, 江, 疊嶂, 陰雲""，""夕陽, 梅, 舟, 風""","0.01,0.01,0.96"
1846,"0,1,2,3","0.0182,0.0180,0.0173,0.9466","1,0,3","""急, 桃葉, 江, 送行""，""回首, 夕陽, 帆, 柳, 舟, 花""，""山, 暮, 水, 雲""","0.02,0.02,0.95"
1847,"0,1,2,3","0.9463,0.0178,0.0184,0.0176","0,2,1,3","""今夕, 客, 心, 愁, 歸, 舟, 銀漢, 雙眸""，""消除, 金梭, 黃姑""，""明月, 秋""，""赤帝""","0.95,0.02,0.02,0.02"
1848,"0,1,2,3","0.0213,0.1922,0.0199,0.7667","3,1,0","""丹桂, 天然, 畫, 雲, 香""，""明月, 秋, 野趣""，""婦, 寒, 菊, 鴉""","0.02,0.19,0.77"
1849,"0,1,2,3","0.9560,0.0149,0.0145,0.0146","0,2,1,3","""千般, 喜, 宦, 寒, 春, 柳, 歸去, 琴, 碌碌, 課子, 金, 魚躍""，""桃紅""，""兩岸, 溪邊, 獲得""，""鱗""","0.96,0.01,0.01,0.01"
1850,"0,1,2,3","0.5966,0.0204,0.0211,0.3618","0,2,3,1","""春, 曲, 瑤琴, 花""，""兒童, 暮天, 淺淡, 窗前""，""影, 桃花""，""月初, 畫樓""","0.60,0.02,0.02,0.36"
1851,"0,1,2,3","0.6463,0.0220,0.0216,0.3102","0,3,1","""何時, 宦情, 家, 曲, 柳, 歸""，""桑麻, 水, 池塘, 陰""，""藕花""","0.65,0.02,0.31"
1852,"0,1,2,3","0.0446,0.0439,0.0422,0.8693","1,3,0","""光, 秋""，""樹, 蟬""，""花""","0.04,0.04,0.87"
1853,"0,1,2,3","0.9233,0.0255,0.0253,0.0258",0,"""京華, 喜, 夢, 往事, 思, 情, 春, 比鄰, 相逢""",0.92
1854,"0,1,2,3","0.9335,0.0221,0.0216,0.0227","1,3,0","""月初, 翦燭, 萬籟""，""晴, 水晶, 無聲, 雨""，""五更, 情, 相逢, 簾""","0.93,0.02,0.02"
1855,"0,1,2,3","0.0273,0.0260,0.0256,0.9211","3,0","""梧桐, 池, 碧紗, 翠, 芙蕖, 苔, 雲山""，""無限, 窗外""","0.03,0.92"
1856,"0,1,2,3","0.9024,0.0324,0.0320,0.0332","3,0,1","""滚滚""，""君, 太虛, 波濤, 獨, 魚""，""水中""","0.90,0.03,0.03"
1857,"0,1,2,3","0.0402,0.0376,0.0367,0.8854","0,3","""姓名, 紗窗""，""塵, 蓮花, 雲, 香""","0.04,0.89"
1858,"0,1,2,3","0.6284,0.0331,0.0342,0.3043","3,2,0","""水""，""奇功, 腹中""，""前生, 君, 恨, 獨""","0.63,0.03,0.30"
1859,"0,1,2,3","0.9038,0.0319,0.0318,0.0324","0,3","""平安, 漫漫, 蜀道, 難, 驪歌, 高堂""，""唱""","0.90,0.03"
1860,"0,1,2,3","0.0531,0.0528,0.0516,0.8424","3,0,1","""思親, 歸路""，""支持""，""綿綿""","0.05,0.05,0.84"
1861,"0,1,2,3","0.9273,0.0237,0.0242,0.0248","0,3,2","""二月, 書, 父, 音""，""八千, 含笑, 天, 歸來, 阿孃""，""兒童""","0.93,0.02,0.02"
1862,"0,1,2,3","0.8871,0.0378,0.0380,0.0372","2,0,1","""兒童""，""春, 歸, 燕子, 花""，""一身""","0.89,0.04,0.04"
1863,"0,1,2,3","0.0344,0.0322,0.5157,0.4177","3,2,0","""畫, 雲""，""太和, 江山, 百花, 鳥聲""，""春""","0.03,0.52,0.42"
1864,"0,1,2,3","0.9266,0.0236,0.0242,0.0255","3,0,2","""仙, 林, 鶯""，""佳句, 忽憶, 新詩, 花, 錦瑟""，""檢點, 陽天""","0.93,0.02,0.03"
1865,"0,1,2,3","0.9627,0.0124,0.0124,0.0126","3,0,2,1","""人, 門楣, 陰, 靈""，""仰, 思, 惜, 書, 歧, 石, 童, 芬芳, 苦, 蘭, 金, 雨露""，""淵源""，""光, 天命""","0.96,0.01,0.01,0.01"
1866,"0,1,2,3","0.0249,0.0241,0.9262,0.0248","2,0,3","""一心, 妝, 柔順, 樞機, 端莊, 自持, 舉止""，""朝夕""，""古人, 玉""","0.02,0.93,0.02"
1867,"0,1,2,3","0.9352,0.0214,0.0215,0.0219","0,3,2","""不俗, 壓倒, 富貴, 梅, 知音, 神仙, 羣芳, 花""，""美人, 香""，""彭澤""","0.94,0.02,0.02"
1868,"0,1,2,3","0.9505,0.0163,0.0164,0.0168","2,0,3,1","""先聲, 情況, 百花, 錦官城""，""夢, 寒, 春, 無言, 絕代""，""生, 畫, 竹, 美人, 香""，""笛""","0.95,0.02,0.02,0.02"
1869,"0,1,2,3","0.0174,0.0166,0.0161,0.9500","0,3,1","""君, 喜, 夢, 扶持, 獨""，""意味, 瀟湘, 生, 紅塵, 臨風, 虛心, 避暑""，""光, 千古, 浮香""","0.02,0.02,0.95"
1870,"0,1,2,3","0.9459,0.0176,0.0174,0.0191","3,0,1,2","""人間, 仙, 分明, 天上, 雪""，""依舊, 官, 寒月, 成都, 有時, 琴, 閒情""，""二更""，""盤旋""","0.95,0.02,0.02,0.02"
1871,"0,1,2,3","0.5171,0.0216,0.0215,0.4399","3,0,1","""人, 吳江, 塵, 而今""，""學, 春, 花, 詞賦, 雞, 鳳""，""綠衣""","0.52,0.02,0.44"
1872,"0,1,2,3","0.0447,0.0433,0.0438,0.8682","2,3,0","""巍巍""，""古人, 山, 愚公""，""吾""","0.04,0.04,0.87"
1873,"0,1,2,3","0.5231,0.0324,0.4095,0.0349","2,0,3","""今人, 休問, 未必, 滋味""，""心, 書""，""笑""","0.52,0.41,0.03"
1874,"0,1,2,3","0.0661,0.8010,0.0649,0.0679","3,1","""古今, 雪天""，""砥礪""","0.80,0.07"
1875,"0,1,2,3","0.3790,0.0382,0.5444,0.0384","0,2,1,3","""心, 書""，""授受, 相連""，""聖賢""，""天""","0.38,0.04,0.54,0.04"
1876,"0,1,2,3","0.0380,0.8862,0.0378,0.0381","2,1,0,3","""後生, 文人""，""浮名, 自古""，""歸""，""天""","0.04,0.89,0.04,0.04"
1877,"0,1,2,3","0.0454,0.1940,0.7170,0.0436","2,0,1,3","""南華, 根柢""，""深淵""，""個中""，""內外""","0.05,0.19,0.72,0.04"
1878,"0,1,2,3","0.0532,0.0516,0.8396,0.0557","2,3","""不學, 南朝, 大風""，""天""","0.84,0.06"
1879,"0,1,2,3","0.4178,0.0371,0.5079,0.0373","2,0,1","""六經, 縱使""，""平生, 日月, 鴻""，""萬古""","0.42,0.04,0.51"
1880,"0,1,2,3","0.4561,0.0434,0.4579,0.0426","2,0","""佳景, 廿四""，""思, 懷抱, 詩""","0.46,0.46"
1881,"0,1,2,3","0.0652,0.6210,0.0641,0.2497","1,3","""天工, 法""，""水""","0.62,0.25"
1882,"0,1,2,3","0.1352,0.5931,0.1399,0.1318",1,"""分流""",0.59
1883,"0,1,2,3","0.0531,0.8415,0.0513,0.0541","1,0,3","""安居, 法""，""歸""，""雲""","0.05,0.84,0.05"
1884,"0,1,2,3","0.0452,0.0430,0.0430,0.8689","3,0","""安樂, 水, 生""，""愛, 舊""","0.05,0.87"
1885,"0,1,2,3","0.8402,0.0540,0.0527,0.0531","1,2,0","""茫茫""，""大澤""，""哀, 心""","0.84,0.05,0.05"
1886,"0,1,2,3","0.0311,0.0259,0.0259,0.9171","3,0","""君子, 天, 女, 枯腸, 生, 萬民""，""抱負, 病, 難""","0.03,0.92"
1887,"0,1,2,3","0.0457,0.0448,0.0433,0.8662","3,1,0","""浪, 符""，""盛名, 黃金""，""客""","0.05,0.04,0.87"
1888,"0,1,2,3","0.0521,0.0515,0.0519,0.8445","3,0,2","""斟酌, 財""，""畢竟""，""聖人""","0.05,0.05,0.84"
1889,"0,1,2,3","0.8387,0.0564,0.0530,0.0518","0,1","""家, 書, 涓涓""，""相通""","0.84,0.06"
1890,"0,1,2,3","0.1279,0.1286,0.6179,0.1255",2,"""廿四""",0.62
1891,"0,1,2,3","0.0288,0.9136,0.0288,0.0288","1,0","""俯瞰, 前賢, 宦海, 揚帆, 江河, 無邊, 茫茫""，""風""","0.03,0.91"
1892,"0,1,2,3","0.1262,0.6180,0.1302,0.1256",1,"""濟世""",0.62
1893,"0,1,2,3","0.1320,0.6085,0.1320,0.1275",1,"""元氣""",0.61
1894,"0,1,2,3","0.8478,0.0510,0.0506,0.0506",0,"""君, 恩, 紅樹, 難""",0.85
1895,"0,1,2,3","0.0868,0.0845,0.7405,0.0882",2,"""惟有, 滋味""",0.74
